years_experience,skills_match_score,education_level,project_count,resume_length
14,92.5,0,10,541
15,94.1,1,14,900
12,58.6,2,12,729
15,100.0,2,14,900
14,76.0,1,13,559
0,68.3,0,3,150
3,53.1,0,5,406
8,80.4,1,17,325
15,92.4,2,12,785
11,100.0,2,12,795
7,78.3,2,11,723
5,50.1,1,7,523
7,45.2,2,15,624
4,74.8,1,7,432
8,74.5,2,10,477
6,81.1,1,5,440
14,79.8,3,16,636
3,50.2,2,8,343
1,32.6,1,1,210
1,72.3,1,7,212
4,88.3,0,6,637
12,100.0,2,19,554
14,93.2,2,23,727
2,57.5,1,11,638
1,47.3,1,3,579
14,78.3,1,17,492
4,66.2,2,12,499
8,65.0,2,12,543
10,71.4,1,9,561
11,56.2,2,18,354
2,45.8,1,10,684
4,51.3,2,11,365
15,66.3,2,12,900
11,78.1,2,5,704
10,67.1,1,20,595
2,58.4,2,5,533
5,39.5,1,13,293
6,72.9,3,8,659
11,83.7,1,12,818
5,92.1,0,7,579
10,100.0,2,13,390
5,50.4,2,6,602
5,87.0,3,9,517
0,61.2,1,2,579
5,66.0,0,5,522
12,80.4,2,12,816
0,51.5,1,4,359
4,100.0,3,12,347
0,70.9,1,5,351
11,72.4,1,7,632
6,97.0,1,9,432
11,83.7,2,13,702
1,68.0,2,7,501
3,43.3,1,7,535
3,75.8,3,8,579
1,39.3,1,4,305
11,95.8,1,12,837
9,45.5,0,13,497
12,63.8,1,13,727
15,100.0,2,20,653
13,89.6,1,7,806
9,64.6,3,16,713
4,55.1,1,8,330
3,66.9,2,2,578
2,65.7,2,8,405
14,89.6,1,18,818
0,77.4,3,8,292
13,73.4,1,11,655
2,64.4,1,5,441
4,74.7,1,4,442
0,49.8,0,4,368
14,100.0,1,15,705
14,78.6,1,16,900
4,47.5,0,4,467
10,73.7,2,19,872
10,72.7,2,12,552
2,79.8,1,9,468
3,81.7,2,9,394
3,43.1,1,9,547
6,81.0,0,19,444
11,98.0,1,11,583
14,97.7,1,12,864
2,70.3,2,12,174
1,74.8,2,11,525
6,51.8,1,9,433
4,87.7,1,8,500
3,57.9,1,5,269
5,70.4,2,7,586
11,100.0,2,12,737
4,55.9,1,8,419
0,74.3,0,9,208
14,100.0,1,11,575
2,53.4,0,5,176
12,67.7,1,10,645
11,84.3,2,20,766
3,49.8,2,7,543
6,60.4,1,7,571
7,60.2,2,8,562
6,80.4,1,13,815
12,64.1,2,14,805
13,59.8,2,15,884
8,87.5,2,15,526
1,56.9,2,6,150
6,90.7,2,15,321
8,100.0,2,12,608
7,65.9,1,9,578
10,100.0,1,10,776
8,70.5,1,14,786
6,55.3,2,10,461
3,55.8,1,5,475
10,90.2,3,11,558
1,50.4,1,6,232
6,57.9,1,8,494
1,58.0,0,3,582
4,52.2,2,15,436
9,78.6,3,13,630
14,67.8,0,14,894
14,100.0,2,14,883
7,54.5,1,11,325
8,91.9,1,8,733
9,69.5,2,13,606
15,100.0,1,17,684
11,91.7,1,10,792
13,87.8,2,14,697
8,100.0,3,8,560
11,80.8,1,9,628
5,73.1,1,12,477
4,71.4,1,2,412
11,82.5,3,16,601
11,100.0,1,16,736
6,62.0,1,8,702
1,45.4,1,6,305
6,82.3,2,15,410
3,39.2,3,10,343
4,52.0,1,8,437
6,65.1,2,17,518
3,61.2,1,5,382
3,73.2,1,6,347
15,80.0,3,18,712
2,71.7,1,11,460
14,97.6,1,13,686
10,69.3,3,15,634
3,43.2,1,6,190
13,92.3,0,16,673
5,69.4,2,6,303
14,93.1,3,11,900
6,68.3,1,9,545
6,79.6,0,7,419
9,70.4,2,13,477
11,100.0,1,14,735
9,100.0,2,10,572
14,91.6,0,13,900
2,59.7,1,4,322
5,51.0,1,12,675
1,68.3,0,4,258
11,94.7,3,18,721
2,50.2,0,2,561
3,75.2,2,4,383
8,60.4,1,13,546
2,52.7,0,10,458
2,70.4,1,4,423
1,69.2,2,6,382
12,83.3,1,10,679
12,66.5,2,20,705
14,86.8,1,12,849
0,54.9,0,0,431
10,54.5,1,11,790
15,100.0,1,19,785
8,87.2,3,8,685
4,68.4,1,8,683
9,100.0,1,11,532
6,90.2,2,10,713
12,100.0,2,12,753
6,44.8,0,7,648
14,72.9,1,25,727
9,100.0,2,13,507
5,72.9,1,7,491
4,61.3,2,7,610
2,46.8,1,4,394
15,86.6,1,18,767
9,84.8,1,9,638
12,78.5,1,14,859
12,79.0,2,12,766
15,95.0,2,12,900
3,71.8,2,9,265
4,91.6,2,10,603
10,81.0,1,12,729
1,60.6,1,4,276
15,72.9,1,14,793
13,77.5,1,11,813
2,69.7,2,5,424
15,100.0,1,15,801
11,81.8,2,18,617
4,64.8,2,10,324
15,85.1,2,16,900
6,65.4,0,4,575
5,78.0,2,7,665
0,56.0,1,8,302
4,77.2,1,6,618
14,93.8,2,21,733
5,63.8,0,6,447
0,41.0,1,4,272
8,100.0,2,9,585
10,63.3,2,19,756
14,76.8,1,21,900
7,81.4,1,12,449
13,100.0,2,11,628
3,25.4,1,10,491
7,58.2,1,7,438
15,100.0,1,18,573
4,73.3,2,10,374
6,90.3,3,12,711
11,78.6,3,22,546
9,58.4,2,7,573
11,72.6,3,19,642
0,51.9,1,4,226
2,81.6,1,8,531
13,82.8,1,6,793
2,83.2,3,9,302
5,58.0,1,4,376
6,63.0,0,5,642
1,45.5,0,0,426
7,78.2,2,13,316
12,78.0,2,12,435
1,52.8,2,6,150
7,69.8,2,9,669
2,64.3,1,8,318
1,35.7,3,6,178
12,100.0,2,10,740
10,100.0,0,9,558
3,63.6,1,8,574
11,96.9,2,12,755
7,80.7,2,13,659
1,43.4,1,5,258
6,57.4,1,14,674
1,59.6,1,7,566
3,20.8,1,11,492
8,84.9,1,9,662
5,73.2,1,6,427
3,48.5,0,6,501
0,62.3,2,7,155
3,55.5,2,6,600
7,71.2,1,14,464
11,70.4,2,14,803
7,63.7,1,7,546
6,73.5,2,11,709
0,71.3,2,10,539
11,61.0,2,12,719
1,31.0,1,5,150
15,90.4,3,11,837
12,86.0,2,23,766
4,69.3,1,12,618
15,76.1,2,14,900
8,55.4,0,13,558
13,89.2,1,18,828
10,78.4,2,15,632
5,73.4,2,17,519
5,62.1,1,9,383
10,60.6,2,18,640
6,62.3,1,8,436
10,100.0,3,20,468
5,55.3,2,8,468
3,69.1,2,8,592
4,48.5,1,8,453
8,56.7,2,8,418
3,44.6,1,11,278
2,77.4,2,8,319
12,81.5,0,21,777
9,72.0,3,12,745
6,55.8,2,6,570
14,100.0,1,15,622
2,65.9,1,9,463
7,32.3,1,10,653
0,39.6,2,8,417
11,71.1,2,11,821
8,83.5,1,5,607
0,59.6,1,3,353
6,75.8,3,12,411
11,88.7,3,20,900
3,61.4,1,3,609
2,69.7,1,4,443
6,98.0,2,11,437
3,35.0,1,8,214
2,74.4,3,7,569
7,93.2,2,7,617
10,74.3,1,18,743
11,72.2,0,7,562
9,57.3,1,12,695
15,76.9,1,9,838
7,80.6,0,9,487
15,100.0,1,15,770
14,100.0,1,13,705
1,63.6,2,11,467
12,93.1,1,10,673
6,31.2,1,10,507
8,47.7,2,9,410
13,60.0,1,14,630
8,55.0,1,9,639
4,78.1,2,6,518
9,98.6,1,12,763
2,84.3,1,6,153
2,73.9,1,8,408
5,65.8,2,11,381
2,68.3,1,5,651
0,58.5,2,6,380
4,55.0,0,6,733
2,67.3,1,4,392
15,89.3,1,8,637
15,96.8,0,15,900
3,86.6,1,2,497
13,91.8,3,11,891
11,97.5,1,11,596
11,86.4,2,12,715
2,68.8,1,6,312
13,76.9,1,18,855
2,71.1,1,5,311
13,94.9,3,16,721
0,75.7,1,3,284
6,86.7,3,9,679
10,69.9,1,9,589
15,93.3,2,24,655
2,55.9,0,3,445
8,54.9,0,11,693
9,75.1,3,13,759
12,72.1,1,9,669
11,74.6,1,11,662
2,38.4,0,2,423
10,73.3,1,10,660
10,100.0,2,4,779
14,100.0,1,10,739
12,43.8,3,15,665
11,55.3,2,17,804
5,64.2,3,11,585
5,63.3,1,8,324
15,81.0,2,10,802
14,59.1,1,13,544
8,54.3,0,13,513
10,55.6,1,7,589
1,57.3,2,3,490
7,69.7,1,6,523
6,73.4,1,3,378
8,99.7,1,7,527
4,62.3,2,6,386
11,73.8,0,9,665
3,19.2,1,6,497
2,100.0,2,9,481
12,57.2,1,9,669
1,92.3,2,3,523
8,66.5,1,9,491
0,60.7,1,10,150
14,96.4,1,15,828
13,83.3,0,10,649
12,100.0,3,12,752
8,73.9,0,7,704
15,89.9,2,9,828
8,100.0,2,8,550
12,78.6,1,11,744
3,68.6,1,11,307
3,40.9,1,3,613
14,98.5,1,15,775
10,64.3,1,9,707
7,93.2,2,12,586
8,77.2,1,10,775
3,63.4,1,11,312
14,75.5,1,8,546
15,71.9,1,21,750
0,71.1,2,6,322
6,67.3,1,7,637
0,70.0,1,6,274
3,100.0,2,12,261
11,92.5,2,15,768
14,68.9,1,14,748
11,76.5,3,13,585
8,98.5,1,10,766
7,91.7,1,10,598
8,80.5,2,9,768
8,76.7,1,9,647
10,100.0,2,14,539
12,74.9,1,15,245
11,74.0,1,11,545
12,91.3,3,22,722
0,50.6,1,4,293
15,77.5,1,11,646
12,90.7,3,20,880
7,66.4,1,12,324
3,71.4,1,5,490
11,87.6,2,12,707
5,63.6,1,10,628
14,100.0,2,7,900
12,82.8,0,13,706
1,67.1,1,4,307
5,87.7,1,10,521
3,51.3,1,4,432
6,42.5,1,9,617
10,89.7,0,9,746
4,64.3,1,7,667
11,96.9,1,13,714
4,79.5,2,8,665
1,33.0,0,5,348
4,43.0,1,7,674
11,68.2,1,15,768
8,68.5,1,5,531
10,67.1,2,12,516
6,65.9,2,10,645
15,91.8,1,22,745
4,87.7,1,5,326
4,73.8,2,13,518
0,68.1,1,6,260
3,65.6,2,8,336
6,67.4,2,10,661
1,96.1,2,4,445
4,69.2,1,9,479
1,58.1,1,4,391
10,56.4,1,6,641
15,57.9,2,16,865
12,75.7,1,13,741
14,100.0,0,11,704
14,99.7,3,18,775
0,65.9,2,2,263
4,79.4,1,7,486
5,49.7,1,5,608
14,100.0,1,17,900
6,68.9,2,14,644
3,68.6,0,7,480
3,30.3,2,9,240
5,86.2,2,7,497
5,61.4,0,8,567
8,85.9,3,14,366
13,100.0,1,10,730
2,69.0,2,7,324
13,91.8,3,6,900
3,68.9,2,5,444
10,81.7,2,9,707
11,64.6,3,14,588
13,100.0,1,4,900
6,70.3,1,13,499
8,46.0,1,11,838
10,84.1,3,14,731
9,87.5,3,16,617
3,52.8,1,8,377
6,50.8,3,13,650
1,51.7,2,9,273
5,89.3,2,9,552
6,71.0,2,9,555
2,35.2,1,11,544
11,82.7,1,11,524
1,100.0,3,12,542
15,97.5,2,17,712
13,66.5,1,8,900
1,40.3,1,9,334
4,100.0,2,17,500
14,89.5,2,18,644
8,51.3,1,5,589
10,80.2,2,12,448
9,57.4,0,16,723
6,53.7,0,10,411
13,63.2,1,10,779
6,82.4,1,11,528
1,53.2,1,7,375
12,70.7,2,14,726
11,62.8,2,13,600
6,67.8,2,7,605
14,57.4,2,10,831
9,79.7,1,11,547
11,93.0,2,15,697
6,74.7,2,10,361
13,73.7,2,16,900
1,52.6,0,5,345
13,93.1,1,13,534
9,65.9,2,11,625
13,85.3,1,14,492
14,77.0,1,15,775
9,78.0,3,17,484
6,83.8,2,9,501
9,57.7,0,13,666
4,77.3,1,7,244
15,83.1,1,20,715
7,60.1,3,12,690
8,100.0,1,9,472
0,73.8,2,6,420
11,98.6,2,13,749
8,70.1,1,9,667
14,92.1,2,18,760
1,61.8,2,8,419
14,78.0,2,15,777
11,80.1,2,12,676
6,67.8,2,14,619
2,20.9,1,7,692
10,61.7,0,10,333
1,49.1,1,3,150
10,48.4,2,16,881
4,55.2,3,12,429
9,84.6,1,15,446
11,80.6,1,10,728
11,91.8,2,10,703
12,91.1,3,18,794
4,71.1,1,8,350
8,100.0,2,10,441
14,98.7,1,15,799
1,72.1,2,10,530
2,83.4,1,7,258
11,74.7,1,9,809
6,71.7,1,12,385
1,74.2,2,7,606
6,94.0,2,11,699
1,0.5,0,9,180
0,62.2,2,9,499
5,61.5,2,9,588
11,63.3,2,13,612
4,48.8,0,6,525
11,62.8,2,13,596
2,56.2,0,6,577
4,56.9,0,5,411
3,72.5,0,3,299
3,72.5,2,5,441
14,68.8,1,18,782
10,100.0,2,12,792
14,97.5,1,10,666
2,52.8,2,9,201
14,100.0,2,13,700
4,57.8,0,6,602
13,91.3,2,15,610
6,76.9,2,11,389
8,77.7,2,15,561
4,60.1,1,12,659
10,89.3,0,11,701
5,68.2,0,12,246
6,57.4,2,12,609
9,63.6,2,15,636
6,82.2,1,8,509
13,67.7,1,7,766
7,75.9,1,9,319
0,59.4,1,4,411
3,69.7,3,8,330
13,99.9,3,17,900
7,77.1,1,8,761
6,86.4,1,12,768
5,68.6,1,9,353
4,58.0,1,10,324
7,65.6,2,15,418
8,65.0,1,9,571
5,60.6,1,7,334
6,75.3,1,11,865
8,64.1,1,13,669
9,37.6,1,13,577
12,74.9,1,8,631
4,54.6,2,9,483
6,82.0,3,11,530
11,39.3,1,14,349
4,73.3,2,8,574
0,76.9,2,2,150
15,79.3,2,15,900
8,56.3,0,9,641
1,46.3,3,7,299
4,72.8,2,12,396
11,75.5,2,11,471
12,87.6,3,14,544
2,36.4,1,6,672
5,74.0,2,13,433
7,88.5,1,10,206
15,95.4,1,17,900
7,56.3,2,13,435
12,92.2,2,20,666
3,56.2,1,4,371
6,64.1,2,12,559
9,81.1,3,18,530
12,100.0,1,11,661
14,100.0,2,14,751
5,52.6,1,7,571
10,83.4,3,14,606
4,53.9,0,6,419
3,90.9,1,11,366
15,100.0,1,10,857
1,64.0,0,4,394
13,76.8,2,22,722
13,59.6,0,16,761
11,94.0,1,16,656
7,60.5,1,9,643
5,71.5,1,8,494
9,74.6,3,8,432
1,52.0,1,7,441
1,41.6,0,10,537
12,77.6,1,14,650
15,72.4,1,19,900
9,61.6,0,12,620
11,52.0,1,6,595
8,58.2,0,8,601
2,37.4,0,5,285
3,76.5,2,6,391
0,59.7,1,3,150
14,55.3,1,15,772
15,100.0,3,23,715
0,67.6,1,5,320
0,62.9,1,4,597
13,92.2,3,18,837
12,78.4,0,10,900
11,100.0,1,9,657
3,59.7,3,14,600
3,48.7,1,8,243
7,68.7,0,6,597
10,80.4,2,18,566
2,75.8,2,4,323
12,90.4,2,13,737
13,75.4,1,15,641
10,94.4,2,15,832
5,98.4,2,7,597
6,60.3,1,10,584
2,65.0,0,4,157
8,69.5,1,8,516
4,60.2,1,8,688
11,80.8,1,15,711
10,64.0,0,16,498
11,100.0,2,17,623
9,97.0,0,11,635
11,39.8,2,19,650
6,66.4,1,10,609
7,70.1,1,11,533
0,56.8,3,7,150
14,100.0,2,11,672
13,71.9,1,12,705
8,93.5,2,5,436
4,72.5,3,6,339
0,62.5,1,5,350
9,66.7,2,15,653
5,58.2,1,5,494
5,80.1,3,10,330
5,75.3,0,11,506
9,81.6,1,8,698
8,81.5,2,14,444
5,55.9,2,14,551
7,62.6,1,7,379
2,74.0,1,6,229
12,98.0,2,12,878
11,77.1,2,8,596
14,49.2,1,18,831
10,65.9,1,9,510
9,90.7,1,10,482
13,76.3,2,20,690
5,78.6,1,9,518
15,76.7,1,11,687
15,78.2,1,17,697
4,76.9,3,9,544
6,65.3,0,3,632
12,85.9,1,12,870
9,100.0,1,12,697
2,87.4,0,4,229
2,100.0,3,10,483
1,68.6,2,3,191
3,83.8,1,10,406
8,92.6,3,17,437
2,100.0,2,9,433
15,88.2,2,15,846
0,66.8,1,4,158
15,99.2,2,25,619
2,52.4,3,3,379
6,83.1,1,7,400
15,92.9,1,18,884
8,100.0,0,11,616
14,84.3,3,15,537
15,79.6,0,17,702
7,100.0,2,20,454
7,79.7,2,14,512
3,65.2,3,10,431
4,56.1,1,13,416
10,88.2,2,5,624
5,89.1,1,12,526
7,68.4,2,14,457
2,69.2,1,14,417
10,59.4,2,11,718
12,96.1,1,10,722
9,77.3,0,8,600
0,39.3,1,8,336
9,73.7,2,12,463
5,100.0,2,11,405
13,85.0,2,9,770
8,68.2,1,18,511
11,100.0,3,18,900
11,99.2,1,14,681
15,68.1,1,12,569
12,77.3,1,9,703
1,64.7,1,10,357
7,94.8,1,12,584
5,95.5,1,10,287
9,58.9,1,18,749
12,69.2,1,14,889
0,58.7,2,6,297
0,73.4,0,5,397
15,95.2,1,14,830
1,51.6,2,5,238
10,73.8,0,6,486
0,72.3,1,4,407
14,86.6,1,17,877
5,59.3,1,7,900
2,53.0,1,3,461
9,81.3,0,12,448
6,77.9,2,7,524
5,99.3,2,10,375
4,58.7,2,8,430
2,77.1,1,9,310
11,60.1,1,15,627
13,95.5,3,13,883
15,80.9,1,14,900
3,69.5,1,9,258
7,62.7,1,4,641
12,74.4,2,12,637
12,60.9,1,16,573
9,73.0,2,15,470
10,100.0,2,9,816
3,80.6,2,7,265
10,66.7,3,17,607
5,71.2,2,19,526
3,67.1,2,5,624
13,84.9,3,12,892
11,72.8,3,12,674
7,84.1,3,10,455
5,66.5,1,11,573
2,66.3,2,7,469
3,33.3,3,5,398
3,47.2,1,9,281
9,56.5,1,14,456
15,98.8,2,25,656
10,86.4,1,11,617
8,56.6,1,10,717
6,60.1,1,9,515
9,67.0,2,16,494
4,33.1,2,8,545
10,97.2,1,9,747
13,91.9,2,16,672
12,77.5,2,11,900
0,86.7,3,6,353
8,81.4,1,18,621
15,94.3,1,14,646
0,60.3,0,2,150
9,100.0,2,9,588
2,60.1,2,5,382
13,85.8,0,10,408
8,85.9,1,5,626
15,88.1,2,15,749
0,49.2,1,6,370
5,49.5,2,10,150
1,41.8,0,2,470
8,89.8,2,16,517
12,82.5,2,17,549
2,57.1,1,7,573
5,49.6,2,8,546
7,73.0,3,9,541
10,65.9,1,16,546
7,89.2,1,9,472
6,77.0,1,6,726
8,69.9,1,8,535
1,83.3,2,7,316
12,87.0,1,20,706
12,67.8,1,14,725
1,59.5,2,4,671
2,54.7,2,5,289
8,90.1,3,12,425
2,47.2,1,2,185
4,49.9,2,12,307
15,90.7,1,21,673
14,98.4,2,19,835
7,72.6,0,9,448
13,94.2,1,12,740
11,87.7,0,11,706
2,41.6,2,4,395
13,70.5,1,12,718
10,88.9,2,7,492
8,73.5,1,11,611
6,63.1,1,14,389
7,67.0,2,10,432
4,83.4,0,5,542
8,85.6,1,9,474
15,52.4,2,25,900
4,59.7,1,4,468
0,74.9,3,12,291
10,88.9,2,15,747
8,64.3,1,12,568
1,74.0,1,3,491
5,35.7,2,5,365
